,title,abstract
0,Checking Equivalence of Quantum Circuits and States,"  Quantum computing promises exponential speed-ups for important simulation and
optimization problems. It also poses new CAD problems that are similar to, but
more challenging, than the related problems in classical (non-quantum) CAD,
such as determining if two states or circuits are functionally equivalent.
While differences in classical states are easy to detect, quantum states, which
are represented by complex-valued vectors, exhibit subtle differences leading
to several notions of equivalence. This provides flexibility in optimizing
quantum circuits, but leads to difficult new equivalence-checking issues for
simulation and synthesis. We identify several different equivalence-checking
problems and present algorithms for practical benchmarks, including quantum
communication and search circuits, which are shown to be very fast and robust
for hundreds of qubits.
"
1,On the CNOT-cost of TOFFOLI gates,"  The three-input TOFFOLI gate is the workhorse of circuit synthesis for
classical logic operations on quantum data, e.g., reversible arithmetic
circuits. In physical implementations, however, TOFFOLI gates are decomposed
into six CNOT gates and several one-qubit gates. Though this decomposition has
been known for at least 10 years, we provide here the first demonstration of
its CNOT-optimality.
  We study three-qubit circuits which contain less than six CNOT gates and
implement a block-diagonal operator, then show that they implicitly describe
the cosine-sine decomposition of a related operator. Leveraging the canonicity
of such decompositions to limit one-qubit gates appearing in respective
circuits, we prove that the n-qubit analogue of the TOFFOLI requires at least
2n CNOT gates. Additionally, our results offer a complete classification of
three-qubit diagonal operators by their CNOT-cost, which holds even if ancilla
qubits are available.
"
2,"Steering plasmodium with light: Dynamical programming of Physarum
  machine","  A plasmodium of Physarum polycephalum is a very large cell visible by unaided
eye. The plasmodium is capable for distributed sensing, parallel information
processing, and decentralized optimization. It is an ideal substrate for future
and emerging bio-computing devices. We study space-time dynamics of plasmodium
reactiom to localised illumination, and provide analogies between propagating
plasmodium and travelling wave-fragments in excitable media. We show how
plasmodium-based computing devices can be precisely controlled and shaped by
planar domains of illumination.
"
3,Fast Equivalence-checking for Quantum Circuits,"  We perform formal verification of quantum circuits by integrating several
techniques specialized to particular classes of circuits. Our verification
methodology is based on the new notion of a reversible miter that allows one to
leverage existing techniques for circuit simplification of quantum circuits.
For reversible circuits which arise as runtime bottlenecks of key quantum
algorithms, we develop several verification techniques and empirically compare
them.
  We also combine existing quantum verification tools with the use of
SAT-solvers. Experiments with circuits for Shor's number-factoring algorithm,
containing thousands of gates, show improvements in efficiency by 3-4 orders of
magnitude.
"
4,Fast matrix multiplication techniques based on the Adleman-Lipton model,"  On distributed memory electronic computers, the implementation and
association of fast parallel matrix multiplication algorithms has yielded
astounding results and insights. In this discourse, we use the tools of
molecular biology to demonstrate the theoretical encoding of Strassen's fast
matrix multiplication algorithm with DNA based on an $n$-moduli set in the
residue number system, thereby demonstrating the viability of computational
mathematics with DNA. As a result, a general scalable implementation of this
model in the DNA computing paradigm is presented and can be generalized to the
application of \emph{all} fast matrix multiplication algorithms on a DNA
computer. We also discuss the practical capabilities and issues of this
scalable implementation. Fast methods of matrix computations with DNA are
important because they also allow for the efficient implementation of other
algorithms (i.e. inversion, computing determinants, and graph theory) with DNA.
"
5,"High-performance Energy Minimization with Applications to Adiabatic
  Quantum Computing","  Energy minimization of Ising spin-glasses has played a central role in
statistical and solid-state physics, facilitating studies of phase transitions
and magnetism. Recent proposals suggest using Ising spin-glasses for
non-traditional computing as a way to harness the nature's ability to find
min-energy configurations, and to take advantage of quantum tunneling to boost
combinatorial optimization. Laboratory demonstrations have been unconvincing so
far and lack a non-quantum baseline for definitive comparisons. In this work we
(i) design and evaluate new computational techniques to simulate natural energy
minimization in spin glasses and (ii) explore their application to study design
alternatives in quantum adiabatic computers. Unlike previous work, our
algorithms are not limited to planar Ising topologies. In one CPU-day, our
branch-and-bound algorithm finds ground states on 100 spins, while our local
search approximates ground states on 1, 000, 000 spins. We use this
computational tool as a simulator to study the significance of hyper-couplings
in the context of recently implemented adiabatic quantum computers.
"
6,A Library-Based Synthesis Methodology for Reversible Logic,"  In this paper, a library-based synthesis methodology for reversible circuits
is proposed where a reversible specification is considered as a permutation
comprising a set of cycles. To this end, a pre-synthesis optimization step is
introduced to construct a reversible specification from an irreversible
function. In addition, a cycle-based representation model is presented to be
used as an intermediate format in the proposed synthesis methodology. The
selected intermediate format serves as a focal point for all potential
representation models. In order to synthesize a given function, a library
containing seven building blocks is used where each building block is a cycle
of length less than 6. To synthesize large cycles, we also propose a
decomposition algorithm which produces all possible minimal and inequivalent
factorizations for a given cycle of length greater than 5. All decompositions
contain the maximum number of disjoint cycles. The generated decompositions are
used in conjunction with a novel cycle assignment algorithm which is proposed
based on the graph matching problem to select the best possible cycle pairs.
Then, each pair is synthesized by using the available components of the
library. The decomposition algorithm together with the cycle assignment method
are considered as a binding method which selects a building block from the
library for each cycle. Finally, a post-synthesis optimization step is
introduced to optimize the synthesis results in terms of different costs.
"
7,Rule-Based Optimization of Reversible Circuits,"  Reversible logic has applications in various research areas including
low-power design and quantum computation. In this paper, a rule-based
optimization approach for reversible circuits is proposed which uses both
negative and positive control Toffoli gates during the optimization. To this
end, a set of rules for removing NOT gates and optimizing sub-circuits with
common-target gates are proposed. To evaluate the proposed approach, the
best-reported synthesized circuits and the results of a recent synthesis
algorithm which uses both negative and positive controls are used. Our
experiments reveal the potential of the proposed approach in optimizing
synthesized circuits.
"
8,Reversible Circuit Synthesis Using a Cycle-Based Approach,"  Reversible logic has applications in various research areas including signal
processing, cryptography and quantum computation. In this paper, direct
NCT-based synthesis of a given $k$-cycle in a cycle-based synthesis scenario is
examined. To this end, a set of seven building blocks is proposed that reveals
the potential of direct synthesis of a given permutation to reduce both quantum
cost and average runtime. To synthesize a given large cycle, we propose a
decomposition algorithm to extract the suggested building blocks from the input
specification. Then, a synthesis method is introduced which uses the building
blocks and the decomposition algorithm. Finally, a hybrid synthesis framework
is suggested which uses the proposed cycle-based synthesis method in
conjunction with one of the recent NCT-based synthesis approaches which is
based on Reed-Muller (RM) spectra. The time complexity and the effectiveness of
the proposed synthesis approach are analyzed in detail. Our analyses show that
the proposed hybrid framework leads to a better quantum cost in the worst-case
scenario compared to the previously presented methods. The proposed framework
always converges and typically synthesizes a given specification very fast
compared to the available synthesis algorithms. Besides, the quantum costs of
benchmark functions are improved about 20% on average (55% in the best case).
"
9,How to build a DNA search engine like Google?,"  This paper proposed a new method to build the large scale DNA sequences
search system based on web search engine technology. We give a very brief
introduction for the methods used in search engine first. Then how to build a
DNA search system like Google is illustrated in detail. Since there is no local
alignment process, this system is able to provide the ms level search services
for billions of DNA sequences in a typical server.
"
