,title,abstract
0,"From Nondeterministic B\""uchi and Streett Automata to Deterministic
  Parity Automata","  In this paper we revisit Safra's determinization constructions for automata
on infinite words. We show how to construct deterministic automata with fewer
states and, most importantly, parity acceptance conditions. Determinization is
used in numerous applications, such as reasoning about tree automata,
satisfiability of CTL*, and realizability and synthesis of logical
specifications. The upper bounds for all these applications are reduced by
using the smaller deterministic automata produced by our construction. In
addition, the parity acceptance conditions allows to use more efficient
algorithms (when compared to handling Rabin or Streett acceptance conditions).
"
1,Efficient Divide-and-Conquer Implementations Of Symmetric FSAs,"  A deterministic finite-state automaton (FSA) is an abstract sequential
machine that reads the symbols comprising an input word one at a time. An FSA
is symmetric if its output is independent of the order in which the input
symbols are read, i.e., if the output is invariant under permutations of the
input. We show how to convert a symmetric FSA A into an automaton-like
divide-and-conquer process whose intermediate results are no larger than the
size of A's memory. In comparison, a similar result for general FSA's has been
long known via functional composition, but entails an exponential increase in
memory size. The new result has applications to parallel processing and
symmetric FSA networks.
"
2,"Detecting palindromes, patterns, and borders in regular languages","  Given a language L and a nondeterministic finite automaton M, we consider
whether we can determine efficiently (in the size of M) if M accepts at least
one word in L, or infinitely many words. Given that M accepts at least one word
in L, we consider how long a shortest word can be. The languages L that we
examine include the palindromes, the non-palindromes, the k-powers, the
non-k-powers, the powers, the non-powers (also called primitive words), the
words matching a general pattern, the bordered words, and the unbordered words.
"
3,"For each $\alpha$ > 2 there is an infinite binary word with critical
  exponent $\alpha$","  For each $\alpha > 2$ there is a binary word with critical exponent $\alpha$.
"
4,Infinite words containing squares at every position,"  Richomme asked the following question: what is the infimum of the real
numbers $\alpha$ > 2 such that there exists an infinite word that avoids
$\alpha$-powers but contains arbitrarily large squares beginning at every
position? We resolve this question in the case of a binary alphabet by showing
that the answer is $\alpha$ = 7/3.
"
5,Alternating Automata on Data Trees and XPath Satisfiability,"  A data tree is an unranked ordered tree whose every node is labelled by a
letter from a finite alphabet and an element (""datum"") from an infinite set,
where the latter can only be compared for equality. The article considers
alternating automata on data trees that can move downward and rightward, and
have one register for storing data. The main results are that nonemptiness over
finite data trees is decidable but not primitive recursive, and that
nonemptiness of safety automata is decidable but not elementary. The proofs use
nondeterministic tree automata with faulty counters. Allowing upward moves,
leftward moves, or two registers, each causes undecidability. As corollaries,
decidability is obtained for two data-sensitive fragments of the XPath query
language.
"
6,Dejean's conjecture holds for n >= 30,"  We extend Carpi's results by showing that Dejean's conjecture holds for n >=
30.
"
7,"Periodicity, repetitions, and orbits of an automatic sequence","  We revisit a technique of S. Lehr on automata and use it to prove old and new
results in a simple way. We give a very simple proof of the 1986 theorem of
Honkala that it is decidable whether a given k-automatic sequence is ultimately
periodic. We prove that it is decidable whether a given k-automatic sequence is
overlap-free (or squareefree, or cubefree, etc.) We prove that the
lexicographically least sequence in the orbit closure of a k-automatic sequence
is k-automatic, and use this last result to show that several related
quantities, such as the critical exponent, irrationality measure, and
recurrence quotient for Sturmian words with slope alpha, have automatic
continued fraction expansions if alpha does.
"
8,Decision Problems For Convex Languages,"  In this paper we examine decision problems associated with various classes of
convex languages, studied by Ang and Brzozowski (under the name ""continuous
languages""). We show that we can decide whether a given language L is prefix-,
suffix-, factor-, or subword-convex in polynomial time if L is represented by a
DFA, but that the problem is PSPACE-hard if L is represented by an NFA. In the
case that a regular language is not convex, we prove tight upper bounds on the
length of the shortest words demonstrating this fact, in terms of the number of
states of an accepting DFA. Similar results are proved for some subclasses of
convex languages: the prefix-, suffix-, factor-, and subword-closed languages,
and the prefix-, suffix-, factor-, and subword-free languages.
"
9,"On NFAs Where All States are Final, Initial, or Both","  We examine questions involving nondeterministic finite automata where all
states are final, initial, or both initial and final. First, we prove hardness
results for the nonuniversality and inequivalence problems for these NFAs.
Next, we characterize the languages accepted. Finally, we discuss some state
complexity problems involving such automata.
"
10,"Morphic and Automatic Words: Maximal Blocks and Diophantine
  Approximation","  Let $\mb w$ be a morphic word over a finite alphabet $\Sigma$, and let
$\Delta$ be a nonempty subset of $\Sigma$. We study the behavior of maximal
blocks consisting only of letters from $\Delta$ in $\mb w$, and prove the
following: let $(i_k,j_k)$ denote the starting and ending positions,
respectively, of the $k$'th maximal $\Delta$-block in $\mb w$. Then
$\limsup_{k\to\infty} (j_k/i_k)$ is algebraic if $\mb w$ is morphic, and
rational if $\mb w$ is automatic. As a result, we show that the same conclusion
holds if $(i_k,j_k)$ are the starting and ending positions of the $k$'th
maximal zero block, and, more generally, of the $k$'th maximal $x$-block, where
$x$ is an arbitrary word. This enables us to draw conclusions about the
irrationality exponent of automatic and morphic numbers. In particular, we show
that the irrationality exponent of automatic (resp., morphic) numbers belonging
to a certain class that we define is rational (resp., algebraic).
"
11,Swapping Lemmas for Regular and Context-Free Languages,"  In formal language theory, one of the most fundamental tools, known as
pumping lemmas, is extremely useful for regular and context-free languages.
However, there are natural properties for which the pumping lemmas are of
little use. One of such examples concerns a notion of advice, which depends
only on the size of an underlying input. A standard pumping lemma encounters
difficulty in proving that a given language is not regular in the presence of
advice. We develop its substitution, called a swapping lemma for regular
languages, to demonstrate the non-regularity of a target language with advice.
For context-free languages, we also present a similar form of swapping lemma,
which serves as a technical tool to show that certain languages are not
context-free with advice.
"
12,Cubefree words with many squares,"  We construct infinite cubefree binary words containing exponentially many
distinct squares of length n. We also show that for every positive integer n,
there is a cubefree binary square of length 2n.
"
13,Decidability of the Equivalence of Multi-Letter Quantum Finite Automata,"  Multi-letter {\it quantum finite automata} (QFAs) were a quantum variant of
classical {\it one-way multi-head finite automata} (J. Hromkovi\v{c}, Acta
Informatica 19 (1983) 377-384), and it has been shown that this new one-way
QFAs (multi-letter QFAs) can accept with no error some regular languages
$(a+b)^{*}b$ that are unacceptable by the previous one-way QFAs. In this paper,
we study the decidability of the equivalence of multi-letter QFAs, and the main
technical contributions are as follows: (1) We show that any two automata, a
$k_{1}$-letter QFA ${\cal A}_1$ and a $k_{2}$-letter QFA ${\cal A}_2$, over the
same input alphabet $\Sigma$ are equivalent if and only if they are
$(n^2m^{k-1}-m^{k-1}+k)$-equivalent, where $m=|\Sigma|$ is the cardinality of
$\Sigma$, $k=\max(k_{1},k_{2})$, and $n=n_{1}+n_{2}$, with $n_{1}$ and $n_{2}$
being the numbers of states of ${\cal A}_{1}$ and ${\cal A}_{2}$, respectively.
When $k=1$, we obtain the decidability of equivalence of measure-once QFAs in
the literature. It is worth mentioning that our technical method is essentially
different from that for the decidability of the case of single input alphabet
(i.e., $m=1$). (2) However, if we determine the equivalence of multi-letter
QFAs by checking all strings of length not more than $ n^2m^{k-1}-m^{k-1}+k$,
then the worst time complexity is exponential, i.e.,
$O(n^6m^{n^2m^{k-1}-m^{k-1}+2k-1})$. Therefore, we design a polynomial-time
$O(m^{2k-1}n^{8}+km^kn^{6})$ algorithm for determining the equivalence of any
two multi-letter QFAs. Here, the time complexity is concerning the number of
states in the multi-letter QFAs, and $k$ is thought of as a constant.
"
14,Van der Waerden's Theorem and Avoidability in Words,"  Pirillo and Varricchio, and independently, Halbeisen and Hungerbuhler
considered the following problem, open since 1994: Does there exist an infinite
word w over a finite subset of Z such that w contains no two consecutive blocks
of the same length and sum? We consider some variations on this problem in the
light of van der Waerden's theorem on arithmetic progressions.
"
15,"Bounds for the discrete correlation of infinite sequences on k symbols
  and generalized Rudin-Shapiro sequences","  Motivated by the known autocorrelation properties of the Rudin-Shapiro
sequence, we study the discrete correlation among infinite sequences over a
finite alphabet, where we just take into account whether two symbols are
identical. We show by combinatorial means that sequences cannot be ""too""
different, and by an explicit construction generalizing the Rudin-Shapiro
sequence, we show that we can achieve the maximum possible difference.
"
16,There are k-uniform cubefree binary morphisms for all k >= 0,"  A word is cubefree if it contains no non-empty subword of the form xxx. A
morphism h : Sigma^* -> Sigma^* is k-uniform if h(a) has length k for all a in
Sigma. A morphism is cubefree if it maps cubefree words to cubefree words. We
show that for all k >= 0 there exists a k-uniform cubefree binary morphism.
"
17,A Generalized Carpenter's Rule Theorem for Self-Touching Linkages,"  The Carpenter's Rule Theorem states that any chain linkage in the plane can
be folded continuously between any two configurations while preserving the bar
lengths and without the bars crossing. However, this theorem applies only to
strictly simple configurations, where bars intersect only at their common
endpoints. We generalize the theorem to self-touching configurations, where
bars can touch but not properly cross. At the heart of our proof is a new
definition of self-touching configurations of planar linkages, based on an
annotated configuration space and limits of nontouching configurations. We show
that this definition is equivalent to the previously proposed definition of
self-touching configurations, which is based on a combinatorial description of
overlapping features. Using our new definition, we prove the generalized
Carpenter's Rule Theorem using a topological argument. We believe that our
topological methodology provides a powerful tool for manipulating many kinds of
self-touching objects, such as 3D hinged assemblies of polygons and rigid
origami. In particular, we show how to apply our methodology to extend to
self-touching configurations universal reconfigurability results for open
chains with slender polygonal adornments, and single-vertex rigid origami with
convex cones.
"
18,Avoiding Squares and Overlaps Over the Natural Numbers,"  We consider avoiding squares and overlaps over the natural numbers, using a
greedy algorithm that chooses the least possible integer at each step; the word
generated is lexicographically least among all such infinite words. In the case
of avoiding squares, the word is 01020103..., the familiar ruler function, and
is generated by iterating a uniform morphism. The case of overlaps is more
challenging. We give an explicitly-defined morphism phi : N* -> N* that
generates the lexicographically least infinite overlap-free word by iteration.
Furthermore, we show that for all h,k in N with h <= k, the word phi^{k-h}(h)
is the lexicographically least overlap-free word starting with the letter h and
ending with the letter k, and give some of its symmetry properties.
"
19,Dejean's conjecture holds for n>=27,"  We show that Dejean's conjecture holds for n>=27. This brings the final
resolution of the conjecture by the approach of Moulin Ollagnier within range
of the computationally feasible.
"
20,Closures in Formal Languages and Kuratowski's Theorem,"  A famous theorem of Kuratowski states that in a topological space, at most 14
distinct sets can be produced by repeatedly applying the operations of closure
and complement to a given set. We re-examine this theorem in the setting of
formal languages, where closure is either Kleene closure or positive closure.
We classify languages according to the structure of the algebra they generate
under iterations of complement and closure. We show that there are precisely 9
such algebras in the case of positive closure, and 12 in the case of Kleene
closure.
"
21,"Closures in Formal Languages: Concatenation, Separation, and Algorithms","  We continue our study of open and closed languages. We investigate how the
properties of being open and closed are preserved under concatenation. We
investigate analogues, in formal languages, of the separation axioms in
topological spaces; one of our main results is that there is a clopen partition
separating two words if and only if the words commute. We show that we can
decide in quadratic time if the language specified by a DFA is closed, but if
the language is specified by an NFA, the problem is PSPACE-complete.
"
