,title,abstract
0,User driven applications - new design paradigm,"  Programs for complicated engineering and scientific tasks always have to deal
with a problem of showing numerous graphical results. The limits of the screen
space and often opposite requirements from different users are the cause of the
infinite discussions between designers and users, but the source of this
ongoing conflict is not in the level of interface design, but in the basic
principle of current graphical output: user may change some views and details,
but in general the output view is absolutely defined and fixed by the
developer. Author was working for several years on the algorithm that will
allow eliminating this problem thus allowing stepping from designer-driven
applications to user-driven. Such type of applications in which user is
deciding what, when and how to show on the screen, is the dream of scientists
and engineers working on the analysis of the most complicated tasks. The new
paradigm is based on movable and resizable graphics, and such type of graphics
can be widely used not only for scientific and engineering applications.
"
1,"The Trade-offs with Space Time Cube Representation of Spatiotemporal
  Patterns","  Space time cube representation is an information visualization technique
where spatiotemporal data points are mapped into a cube. Fast and correct
analysis of such information is important in for instance geospatial and social
visualization applications. Information visualization researchers have
previously argued that space time cube representation is beneficial in
revealing complex spatiotemporal patterns in a dataset to users. The argument
is based on the fact that both time and spatial information are displayed
simultaneously to users, an effect difficult to achieve in other
representations. However, to our knowledge the actual usefulness of space time
cube representation in conveying complex spatiotemporal patterns to users has
not been empirically validated. To fill this gap we report on a
between-subjects experiment comparing novice users error rates and response
times when answering a set of questions using either space time cube or a
baseline 2D representation. For some simple questions the error rates were
lower when using the baseline representation. For complex questions where the
participants needed an overall understanding of the spatiotemporal structure of
the dataset, the space time cube representation resulted in on average twice as
fast response times with no difference in error rates compared to the baseline.
These results provide an empirical foundation for the hypothesis that space
time cube representation benefits users when analyzing complex spatiotemporal
patterns.
"
2,"Network synchronizability analysis: the theory of subgraphs and
  complementary graphs","  In this paper, subgraphs and complementary graphs are used to analyze the
network synchronizability. Some sharp and attainable bounds are provided for
the eigenratio of the network structural matrix, which characterizes the
network synchronizability, especially when the network's corresponding graph
has cycles, chains, bipartite graphs or product graphs as its subgraphs.
"
3,"Virtual Environments for Training: From Individual Learning to
  Collaboration with Humanoids","  The next generation of virtual environments for training is oriented towards
collaborative aspects. Therefore, we have decided to enhance our platform for
virtual training environments, adding collaboration opportunities and
integrating humanoids. In this paper we put forward a model of humanoid that
suits both virtual humans and representations of real users, according to
collaborative training activities. We suggest adaptations to the scenario model
of our platform making it possible to write collaborative procedures. We
introduce a mechanism of action selection made up of a global repartition and
an individual choice. These models are currently being integrated and validated
in GVT, a virtual training tool for maintenance of military equipments,
developed in collaboration with the French company NEXTER-Group.
"
4,"Simple Algorithmic Principles of Discovery, Subjective Beauty, Selective
  Attention, Curiosity & Creativity","  I postulate that human or other intelligent agents function or should
function as follows. They store all sensory observations as they come - the
data is holy. At any time, given some agent's current coding capabilities, part
of the data is compressible by a short and hopefully fast program / description
/ explanation / world model. In the agent's subjective eyes, such data is more
regular and more ""beautiful"" than other data. It is well-known that knowledge
of regularity and repeatability may improve the agent's ability to plan actions
leading to external rewards. In absence of such rewards, however, known beauty
is boring. Then ""interestingness"" becomes the first derivative of subjective
beauty: as the learning agent improves its compression algorithm, formerly
apparently random data parts become subjectively more regular and beautiful.
Such progress in compressibility is measured and maximized by the curiosity
drive: create action sequences that extend the observation history and yield
previously unknown / unpredictable but quickly learnable algorithmic
regularity. We discuss how all of the above can be naturally implemented on
computers, through an extension of passive unsupervised learning to the case of
active data selection: we reward a general reinforcement learner (with access
to the adaptive compressor) for actions that improve the subjective
compressibility of the growing data. An unusually large breakthrough in
compressibility deserves the name ""discovery"". The ""creativity"" of artists,
dancers, musicians, pure mathematicians can be viewed as a by-product of this
principle. Several qualitative examples support this hypothesis.
"
5,Design of moveable and resizable graphics,"  We are communicating with computers on two different levels. On upper level
we have a very flexible system of windows: we can move them, resize, overlap or
put side by side. At any moment we decide what would be the best view and
reorganize the whole view easily. Then we start any application, go to the
inner level, and everything changes. Here we are stripped of all the
flexibility and can work only inside the scenario, developed by the designer of
the program. Interface will allow us to change some tiny details, but in
general everything is fixed: graphics is neither moveable, nor resizable, and
the same with controls. Author designed an extremely powerful mechanism of
turning graphical objects and controls into moveable and resizable. This can
not only significantly improve the existing applications, but this will bring
the applications to another level. (To estimate the possible difference, try to
imagine the Windows system without its flexibility and compare it with the
current one.) This article explains in details the construction and use of
moveable and resizable graphical objects.
"
6,"Efficient Binary and Run Length Morphology and its Application to
  Document Image Processing","  This paper describes the implementation and evaluation of an open source
library for mathematical morphology based on packed binary and run-length
compressed images for document imaging applications. Abstractions and patterns
useful in the implementation of the interval operations are described. A number
of benchmarks and comparisons to bit-blit based implementations on standard
document images are provided.
"
7,Dynamic Multilevel Graph Visualization,"  We adapt multilevel, force-directed graph layout techniques to visualizing
dynamic graphs in which vertices and edges are added and removed in an online
fashion (i.e., unpredictably). We maintain multiple levels of coarseness using
a dynamic, randomized coarsening algorithm. To ensure the vertices follow
smooth trajectories, we employ dynamics simulation techniques, treating the
vertices as point particles. We simulate fine and coarse levels of the graph
simultaneously, coupling the dynamics of adjacent levels. Projection from
coarser to finer levels is adaptive, with the projection determined by an
affine transformation that evolves alongside the graph layouts. The result is a
dynamic graph visualizer that quickly and smoothly adapts to changes in a
graph.
"
8,Toward the Graphics Turing Scale on a Blue Gene Supercomputer,"  We investigate raytracing performance that can be achieved on a class of Blue
Gene supercomputers. We measure a 822 times speedup over a Pentium IV on a 6144
processor Blue Gene/L. We measure the computational performance as a function
of number of processors and problem size to determine the scaling performance
of the raytracing calculation on the Blue Gene. We find nontrivial scaling
behavior at large number of processors. We discuss applications of this
technology to scientific visualization with advanced lighting and high
resolution. We utilize three racks of a Blue Gene/L in our calculations which
is less than three percent of the the capacity of the worlds largest Blue Gene
computer.
"
9,MathPSfrag 2: Convenient LaTeX Labels in Mathematica,"  This article introduces the next version of MathPSfrag. MathPSfrag is a
Mathematica package that during export automatically replaces all expressions
in a plot by corresponding LaTeX commands. The new version can also produce
LaTeX independent images; e.g., PDF files for inclusion in pdfLaTeX. Moreover
from these files a preview is generated and shown within Mathematica.
"
