,title,abstract
0,Characterization of P2P IPTV Traffic: Scaling Analysis,"  P2P IPTV applications arise on the Internet and will be massively used in the
future. It is expected that P2P IPTV will contribute to increase the overall
Internet traffic. In this context, it is important to measure the impact of P2P
IPTV on the networks and to characterize this traffic. Dur- ing the 2006 FIFA
World Cup, we performed an extensive measurement campaign. We measured network
traffic generated by broadcasting soc- cer games by the most popular P2P IPTV
applications, namely PPLive, PPStream, SOPCast and TVAnts. From the collected
data, we charac- terized the P2P IPTV traffic structure at different time
scales by using wavelet based transform method. To the best of our knowledge,
this is the first work, which presents a complete multiscale analysis of the
P2P IPTV traffic. Our results show that the scaling properties of the TCP
traffic present periodic behavior whereas the UDP traffic is stationary and
lead to long- range depedency characteristics. For all the applications, the
download traffic has different characteristics than the upload traffic. The
signaling traffic has a significant impact on the download traffic but it has
negligible impact on the upload. Both sides of the traffic and its granularity
has to be taken into account to design accurate P2P IPTV traffic models.
"
1,Double Sided Watermark Embedding and Detection with Perceptual Analysis,"  In our previous work, we introduced a double-sided technique that utilizes
but not reject the host interference. Due to its nice property of utilizing but
not rejecting the host interference, it has a big advantage over the host
interference schemes in that the perceptual analysis can be easily implemented
for our scheme to achieve the locally bounded maximum embedding strength. Thus,
in this work, we detail how to implement the perceptual analysis in our
double-sided schemes since the perceptual analysis is very important for
improving the fidelity of watermarked contents. Through the extensive
performance comparisons, we can further validate the performance advantage of
our double-sided schemes.
"
2,Watermark Embedding and Detection,"  The embedder and the detector (or decoder) are the two most important
components of the digital watermarking systems. Thus in this work, we discuss
how to design a better embedder and detector (or decoder). I first give a
summary of the prospective applications of watermarking technology and major
watermarking schemes in the literature. My review on the literature closely
centers upon how the side information is exploited at both embedders and
detectors. In Chapter 3, I explore the optimum detector or decoder according to
a particular probability distribution of the host signals. We found that the
performance of both multiplicative and additive spread spectrum schemes depends
on the shape parameter of the host signals. For spread spectrum schemes, the
performance of the detector or the decoder is reduced by the host interference.
Thus I present a new host-interference rejection technique for the
multiplicative spread spectrum schemes. Its embedding rule is tailored to the
optimum detection or decoding rule. Though the host interference rejection
schemes enjoy a big performance gain over the traditional spread spectrum
schemes, their drawbacks that it is difficult for them to be implemented with
the perceptual analysis to achieve the maximum allowable embedding level
discourage their use in real scenarios. Thus, in the last chapters of this
work, I introduce a double-sided technique to tackle this drawback. It differs
from the host interference rejection schemes in that it utilizes but does not
reject the host interference at its embedder. The perceptual analysis can be
easily implemented in our scheme to achieve the maximum allowable level of
embedding strength.
"
3,"Multimedia Content Distribution in Hybrid Wireless Networks using
  Weighted Clustering","  Fixed infrastructured networks naturally support centralized approaches for
group management and information provisioning. Contrary to infrastructured
networks, in multi-hop ad-hoc networks each node acts as a router as well as
sender and receiver. Some applications, however, requires hierarchical
arrangements that-for practical reasons-has to be done locally and
self-organized. An additional challenge is to deal with mobility that causes
permanent network partitioning and re-organizations. Technically, these
problems can be tackled by providing additional uplinks to a backbone network,
which can be used to access resources in the Internet as well as to inter-link
multiple ad-hoc network partitions, creating a hybrid wireless network. In this
paper, we present a prototypically implemented hybrid wireless network system
optimized for multimedia content distribution. To efficiently manage the ad-hoc
communicating devices a weighted clustering algorithm is introduced. The
proposed localized algorithm deals with mobility, but does not require
geographical information or distances.
"
4,On the Performance of Joint Fingerprint Embedding and Decryption Scheme,"  Till now, few work has been done to analyze the performances of joint
fingerprint embedding and decryption schemes. In this paper, the security of
the joint fingerprint embedding and decryption scheme proposed by Kundur et al.
is analyzed and improved. The analyses include the security against
unauthorized customer, the security against authorized customer, the
relationship between security and robustness, the relationship between
secu-rity and imperceptibility and the perceptual security. Based these
analyses, some means are proposed to strengthen the system, such as multi-key
encryp-tion and DC coefficient encryption. The method can be used to analyze
other JFD schemes. It is expected to provide valuable information to design JFD
schemes.
"
5,Robust Audio Watermarking Against the D/A and A/D conversions,"  Audio watermarking has played an important role in multimedia security. In
many applications using audio watermarking, D/A and A/D conversions (denoted by
DA/AD in this paper) are often involved. In previous works, however, the
robustness issue of audio watermarking against the DA/AD conversions has not
drawn sufficient attention yet. In our extensive investigation, it has been
found that the degradation of a watermarked audio signal caused by the DA/AD
conversions manifests itself mainly in terms of wave magnitude distortion and
linear temporal scaling, making the watermark extraction failed. Accordingly, a
DWT-based audio watermarking algorithm robust against the DA/AD conversions is
proposed in this paper. To resist the magnitude distortion, the relative energy
relationships among different groups of the DWT coefficients in the
low-frequency sub-band are utilized in watermark embedding by adaptively
controlling the embedding strength. Furthermore, the resynchronization is
designed to cope with the linear temporal scaling. The time-frequency
localization characteristics of DWT are exploited to save the computational
load in the resynchronization. Consequently, the proposed audio watermarking
algorithm is robust against the DA/AD conversions, other common audio
processing manipulations, and the attacks in StirMark Benchmark for Audio,
which has been verified by experiments.
"
6,Very fast watermarking by reversible contrast mapping,"  Reversible contrast mapping (RCM) is a simple integer transform that applies
to pairs of pixels. For some pairs of pixels, RCM is invertible, even if the
least significant bits (LSBs) of the transformed pixels are lost. The data
space occupied by the LSBs is suitable for data hiding. The embedded
information bit-rates of the proposed spatial domain reversible watermarking
scheme are close to the highest bit-rates reported so far. The scheme does not
need additional data compression, and, in terms of mathematical complexity, it
appears to be the lowest complexity one proposed up to now. A very fast lookup
table implementation is proposed. Robustness against cropping can be ensured as
well.
"
7,"Multimedia Capacity Analysis of the IEEE 802.11e Contention-based
  Infrastructure Basic Service Set","  We first propose a simple mathematical analysis framework for the Enhanced
Distributed Channel Access (EDCA) function of the recently ratified IEEE
802.11e standard. Our analysis considers the fact that the distributed random
access systems exhibit cyclic behavior. The proposed model is valid for
arbitrary assignments of AC-specific Arbitration Interframe Space (AIFS) values
and Contention Window (CW) sizes and is the first that considers an arbitrary
distribution of active Access Categories (ACs) at the stations. Validating the
theoretical results via extensive simulations, we show that the proposed
analysis accurately captures the EDCA saturation performance. Next, we propose
a framework for multimedia capacity analysis of the EDCA function. We calculate
an accurate station- and AC-specific queue utilization ratio by appropriately
weighing the service time predictions of the cycle time model for different
number of active stations. Based on the calculated queue utilization ratio, we
design a simple model-based admission control scheme. We show that the proposed
call admission control algorithm maintains satisfactory user-perceived quality
for coexisting voice and video connections in an infrastructure BSS and does
not present over- or under-admission problems of previously proposed models in
the literature.
"
8,"Understanding the Characteristics of Internet Short Video Sharing:
  YouTube as a Case Study","  Established in 2005, YouTube has become the most successful Internet site
providing a new generation of short video sharing service. Today, YouTube alone
comprises approximately 20% of all HTTP traffic, or nearly 10% of all traffic
on the Internet. Understanding the features of YouTube and similar video
sharing sites is thus crucial to their sustainable development and to network
traffic engineering. In this paper, using traces crawled in a 3-month period,
we present an in-depth and systematic measurement study on the characteristics
of YouTube videos. We find that YouTube videos have noticeably different
statistics compared to traditional streaming videos, ranging from length and
access pattern, to their active life span, ratings, and comments. The series of
datasets also allows us to identify the growth trend of this fast evolving
Internet site in various aspects, which has seldom been explored before. We
also look closely at the social networking aspect of YouTube, as this is a key
driving force toward its success. In particular, we find that the links to
related videos generated by uploaders' choices form a small-world network. This
suggests that the videos have strong correlations with each other, and creates
opportunities for developing novel caching or peer-to-peer distribution schemes
to efficiently deliver videos to end users.
"
9,Image Authentication Based on Neural Networks,"  Neural network has been attracting more and more researchers since the past
decades. The properties, such as parameter sensitivity, random similarity,
learning ability, etc., make it suitable for information protection, such as
data encryption, data authentication, intrusion detection, etc. In this paper,
by investigating neural networks' properties, the low-cost authentication
method based on neural networks is proposed and used to authenticate images or
videos. The authentication method can detect whether the images or videos are
modified maliciously. Firstly, this chapter introduces neural networks'
properties, such as parameter sensitivity, random similarity, diffusion
property, confusion property, one-way property, etc. Secondly, the chapter
gives an introduction to neural network based protection methods. Thirdly, an
image or video authentication scheme based on neural networks is presented, and
its performances, including security, robustness and efficiency, are analyzed.
Finally, conclusions are drawn, and some open issues in this field are
presented.
"
