,title,abstract
0,"Supporting Knowledge and Expertise Finding within Australia's Defence
  Science and Technology Organisation","  This paper reports on work aimed at supporting knowledge and expertise
finding within a large Research and Development (R&D) organisation. The paper
first discusses the nature of knowledge important to R&D organisations and
presents a prototype information system developed to support knowledge and
expertise finding. The paper then discusses a trial of the system within an R&D
organisation, the implications and limitations of the trial, and discusses
future research questions.
"
1,"Performance Analysis of the IEEE 802.11e Enhanced Distributed
  Coordination Function using Cycle Time Approach","  The recently ratified IEEE 802.11e standard defines the Enhanced Distributed
Channel Access (EDCA) function for Quality-of-Service (QoS) provisioning in the
Wireless Local Area Networks (WLANs). The EDCA uses Carrier Sense Multiple
Access with Collision Avoidance (CSMA/CA) and slotted Binary Exponential
Backoff (BEB) mechanism. We present a simple mathematical analysis framework
for the EDCA function. Our analysis considers the fact that the distributed
random access systems exhibit cyclic behavior where each station successfully
transmits a packet in a cycle. Our analysis shows that an AC-specific cycle
time exists for the EDCA function. Validating the theoretical results via
simulations, we show that the proposed analysis accurately captures EDCA
saturation performance in terms of average throughput, medium access delay, and
packet loss ratio. The cycle time analysis is a simple and insightful
substitute for previously proposed more complex EDCA models.
"
2,Fairness Provision in the IEEE 802.11e Infrastructure Basic Service Set,"  Most of the deployed IEEE 802.11e Wireless Local Area Networks (WLANs) use
infrastructure Basic Service Set (BSS) in which an Access Point (AP) serves as
a gateway between wired and wireless domains. We present the unfairness problem
between the uplink and the downlink flows of any Access Category (AC) in the
802.11e Enhanced Distributed Channel Access (EDCA) when the default settings of
the EDCA parameters are used. We propose a simple analytical model to calculate
the EDCA parameter settings that achieve weighted fair resource allocation for
all uplink and downlink flows. We also propose a simple model-assisted
measurement-based dynamic EDCA parameter adaptation algorithm. Moreover, our
dynamic solution addresses the differences in the transport layer and the
Medium Access Control (MAC) layer interactions of User Datagram Protocol (UDP)
and Transmission Control Protocol (TCP). We show that proposed Contention
Window (CW) and Transmit Opportunity (TXOP) limit adaptation at the AP provides
fair UDP and TCP access between uplink and downlink flows of the same AC while
preserving prioritization among ACs.
"
3,Kekul\'e Cells for Molecular Computation,"  The configurations of single and double bonds in polycyclic hydrocarbons are
abstracted as Kekul\'e states of graphs. Sending a so-called soliton over an
open channel between ports (external nodes) of the graph changes the Kekul\'e
state and therewith the set of open channels in the graph. This switching
behaviour is proposed as a basis for molecular computation. The proposal is
highly speculative but may have tremendous impact.
  Kekul\'e states with the same boundary behaviour (port assignment) can be
regarded as equivalent. This gives rise to the abstraction of Kekul\'e cells.
The basic theory of Kekul\'e states and Kekul\'e cells is developed here, up to
the classification of Kekul\'e cells with $\leq 4$ ports. To put the theory in
context, we generalize Kekul\'e states to semi-Kekul\'e states, which form the
solutions of a linear system of equations over the field of the bits 0 and 1.
We briefly study so-called omniconjugated graphs, in which every port
assignment of the right signature has a Kekul\'e state. Omniconjugated graphs
may be useful as connectors between computational elements. We finally
investigate some examples with potentially useful switching behaviour.
"
4,"The Use of ITIL for Process Optimisation in the IT Service Centre of
  Harz University, exemplified in the Release Management Process","  This paper details the use of the IT Infrastructure Library Framework (ITIL)
for optimising process workflows in the IT Service Centre of Harz University in
Wernigerode, Germany, exemplified by the Release Management Process. It is
described, how, during the course of a special ITIL project, the As-Is-Status
of the various original processes was documented as part of the process life
cycle and then transformed in the To-Be-Status, according to the ITIL Best
Practice Framework. It is also shown, how the ITIL framework fits into the
four-layered-process model, that could be derived from interviews with the
universities IT support staff, and how the various modified processes
interconnect with each other to form a value chain. The paper highlights the
final results of the project and gives an outlook on the future use of ITIL as
a business modelling tool in the IT Service Centre of Harz University. It is
currently being considered, whether the process model developed during the
project could be used as a reference model for other university IT centres.
"
5,Collaborative product and process model: Multiple Viewpoints approach,"  The design and development of complex products invariably involves many
actors who have different points of view on the problem they are addressing,
the product being developed, and the process by which it is being developed.
The actors' viewpoints approach was designed to provide an organisational
framework in which these different perspectives or points of views, and their
relationships, could be explicitly gathered and formatted (by actor activity's
focus). The approach acknowledges the inevitability of multiple interpretation
of product information as different views, promotes gathering of actors'
interests, and encourages retrieved adequate information while providing
support for integration through PLM and/or SCM collaboration. In this paper, we
present our multiple viewpoints approach, and we illustrate it by an industrial
example on cyclone vessel product.
"
6,Remote laboratories: new technology and standard based architecture,"  E-Laboratories are important components of e- learning environments,
especially in scientific and technical disciplines. First widespread E-Labs
consisted in proposing simulations of real systems (virtual labs), as building
remote labs (remote control of real systems) was difficult by lack of
industrial standards and common protocols. Nowadays, robotics and automation
technologies make easier the interfacing of systems with computers. In this
frame, many researchers (such as those mentioned in [1]) focus on how to set up
such a remote control. But, only a few of them deal with the educational point
of view of the problem. This paper outlines our current research and reflection
about remote laboratory modelling.
"
7,Hypocomputation,"  Hypercomputational formal theories will, clearly, be both structurally and
foundationally different from the formal theories underpinning computational
theories. However, many of the maps that might guide us into this strange realm
have been lost. So little work has been done recently in the area of
metamathematics, and so many of the previous results have been folded into
other theories, that we are in danger of loosing an appreciation of the broader
structure of formal theories. As an aid to those looking to develop
hypercomputational theories, we will briefly survey the known landmarks both
inside and outside the borders of computational theory. We will not focus in
this paper on why the structure of formal theory looks the way it does. Instead
we will focus on what this structure looks like, moving from hypocomputational,
through traditional computational theories, and then beyond to
hypercomputational theories.
"
8,Hilbert++ Manual,"  We present here an installation guide, a hand-on mini-tutorial through
examples, and the theoretical foundations of the Hilbert++ code.
"
9,2-State 3-Symbol Universal Turing Machines Do Not Exist,"  In this brief note, we give a simple information-theoretic proof that 2-state
3-symbol universal Turing machines cannot possibly exist, unless one loosens
the definition of ""universal"".
"
