,title,abstract
0,The on-line shortest path problem under partial monitoring,"  The on-line shortest path problem is considered under various models of
partial monitoring. Given a weighted directed acyclic graph whose edge weights
can change in an arbitrary (adversarial) way, a decision maker has to choose in
each round of a game a path between two distinguished vertices such that the
loss of the chosen path (defined as the sum of the weights of its composing
edges) be as small as possible. In a setting generalizing the multi-armed
bandit problem, after choosing a path, the decision maker learns only the
weights of those edges that belong to the chosen path. For this problem, an
algorithm is given whose average cumulative loss in n rounds exceeds that of
the best path, matched off-line to the entire sequence of the edge weights, by
a quantity that is proportional to 1/\sqrt{n} and depends only polynomially on
the number of edges of the graph. The algorithm can be implemented with linear
complexity in the number of rounds n and in the number of edges. An extension
to the so-called label efficient setting is also given, in which the decision
maker is informed about the weights of the edges corresponding to the chosen
path at a total of m << n time instances. Another extension is shown where the
decision maker competes against a time-varying path, a generalization of the
problem of tracking the best expert. A version of the multi-armed bandit
setting for shortest path is also discussed where the decision maker learns
only the total weight of the chosen path but not the weights of the individual
edges on the path. Applications to routing in packet switched networks along
with simulation results are also presented.
"
1,The Invar Tensor Package,"  The Invar package is introduced, a fast manipulator of generic scalar
polynomial expressions formed from the Riemann tensor of a four-dimensional
metric-compatible connection. The package can maximally simplify any polynomial
containing tensor products of up to seven Riemann tensors within seconds. It
has been implemented both in Mathematica and Maple algebraic systems.
"
2,"Parallel computation of the rank of large sparse matrices from algebraic
  K-theory","  This paper deals with the computation of the rank and of some integer Smith
forms of a series of sparse matrices arising in algebraic K-theory. The number
of non zero entries in the considered matrices ranges from 8 to 37 millions.
The largest rank computation took more than 35 days on 50 processors. We report
on the actual algorithms we used to build the matrices, their link to the
motivic cohomology and the linear algebra and parallelizations required to
perform such huge computations. In particular, these results are part of the
first computation of the cohomology of the linear group GL_7(Z).
"
3,"Towards an exact adaptive algorithm for the determinant of a rational
  matrix","  In this paper we propose several strategies for the exact computation of the
determinant of a rational matrix. First, we use the Chinese Remaindering
Theorem and the rational reconstruction to recover the rational determinant
from its modular images. Then we show a preconditioning for the determinant
which allows us to skip the rational reconstruction process and reconstruct an
integer result. We compare those approaches with matrix preconditioning which
allow us to treat integer instead of rational matrices. This allows us to
introduce integer determinant algorithms to the rational determinant problem.
In particular, we discuss the applicability of the adaptive determinant
algorithm of [9] and compare it with the integer Chinese Remaindering scheme.
We present an analysis of the complexity of the strategies and evaluate their
experimental performance on numerous examples. This experience allows us to
develop an adaptive strategy which would choose the best solution at the run
time, depending on matrix properties. All strategies have been implemented in
LinBox linear algebra library.
"
4,Tropical Implicitization and Mixed Fiber Polytopes,"  The software TrIm offers implementations of tropical implicitization and
tropical elimination, as developed by Tevelev and the authors. Given a
polynomial map with generic coefficients, TrIm computes the tropical variety of
the image. When the image is a hypersurface, the output is the Newton polytope
of the defining polynomial. TrIm can thus be used to compute mixed fiber
polytopes, including secondary polytopes.
"
5,A Proof of a Recursion for Bessel Moments,"  We provide a proof of a conjecture in (Bailey, Borwein, Borwein, Crandall
2007) on the existence and form of linear recursions for moments of powers of
the Bessel function $K_0$.
"
6,"Obstructions to Genericity in Study of Parametric Problems in Control
  Theory","  We investigate systems of equations, involving parameters from the point of
view of both control theory and computer algebra. The equations might involve
linear operators such as partial (q-)differentiation, (q-)shift, (q-)difference
as well as more complicated ones, which act trivially on the parameters. Such a
system can be identified algebraically with a certain left module over a
non-commutative algebra, where the operators commute with the parameters. We
develop, implement and use in practice the algorithm for revealing all the
expressions in parameters, for which e.g. homological properties of a system
differ from the generic properties. We use Groebner bases and Groebner basics
in rings of solvable type as main tools. In particular, we demonstrate an
optimized algorithm for computing the left inverse of a matrix over a ring of
solvable type. We illustrate the article with interesting examples. In
particular, we provide a complete solution to the ""two pendula, mounted on a
cart"" problem from the classical book of Polderman and Willems, including the
case, where the friction at the joints is essential . To the best of our
knowledge, the latter example has not been solved before in a complete way.
"
7,Moderate Growth Time Series for Dynamic Combinatorics Modelisation,"  Here, we present a family of time series with a simple growth constraint.
This family can be the basis of a model to apply to emerging computation in
business and micro-economy where global functions can be expressed from local
rules. We explicit a double statistics on these series which allows to
establish a one-to-one correspondence between three other ballot-like
strunctures.
"
8,"Bounding the Betti numbers and computing the Euler-Poincar\'e
  characteristic of semi-algebraic sets defined by partly quadratic systems of
  polynomials","  Let $\R$ be a real closed field, $ {\mathcal Q} \subset
\R[Y_1,...,Y_\ell,X_1,...,X_k], $ with $ \deg_{Y}(Q) \leq 2, \deg_{X}(Q) \leq
d, Q \in {\mathcal Q}, #({\mathcal Q})=m,$ and $ {\mathcal P} \subset
\R[X_1,...,X_k] $ with $\deg_{X}(P) \leq d, P \in {\mathcal P}, #({\mathcal
P})=s$, and $S \subset \R^{\ell+k}$ a semi-algebraic set defined by a Boolean
formula without negations, with atoms $P=0, P \geq 0, P \leq 0, P \in {\mathcal
P} \cup {\mathcal Q}$. We prove that the sum of the Betti numbers of $S$ is
bounded by \[ \ell^2 (O(s+\ell+m)\ell d)^{k+2m}. \] This is a common
generalization of previous results on bounding the Betti numbers of closed
semi-algebraic sets defined by polynomials of degree $d$ and 2, respectively.
  We also describe an algorithm for computing the Euler-Poincar\'e
characteristic of such sets, generalizing similar algorithms known before. The
complexity of the algorithm is bounded by $(\ell s m d)^{O(m(m+k))}$.
"
9,"Implicitization of Bihomogeneous Parametrizations of Algebraic Surfaces
  via Linear Syzygies","  We show that the implicit equation of a surface in 3-dimensional projective
space parametrized by bi-homogeneous polynomials of bi-degree (d,d), for a
given positive integer d, can be represented and computed from the linear
syzygies of its parametrization if the base points are isolated and form
locally a complete intersection.
"
10,Improved Linear Parallel Interference Cancellers,"  In this paper, taking the view that a linear parallel interference canceller
(LPIC) can be seen as a linear matrix filter, we propose new linear matrix
filters that can result in improved bit error performance compared to other
LPICs in the literature. The motivation for the proposed filters arises from
the possibility of avoiding the generation of certain interference and noise
terms in a given stage that would have been present in a conventional LPIC
(CLPIC). In the proposed filters, we achieve such avoidance of the generation
of interference and noise terms in a given stage by simply making the diagonal
elements of a certain matrix in that stage equal to zero. Hence, the proposed
filters do not require additional complexity compared to the CLPIC, and they
can allow achieving a certain error performance using fewer LPIC stages. We
also extend the proposed matrix filter solutions to a multicarrier DS-CDMA
system, where we consider two types of receivers. In one receiver (referred to
as Type-I receiver), LPIC is performed on each subcarrier first, followed by
multicarrier combining (MCC). In the other receiver (called Type-II receiver),
MCC is performed first, followed by LPIC. We show that in both Type-I and
Type-II receivers, the proposed matrix filters outperform other matrix filters.
Also, Type-II receiver performs better than Type-I receiver because of enhanced
accuracy of the interference estimates achieved due to frequency diversity
offered by MCC.
"
